MOVIE NAME,YEAR,MALE SINGER COUNT,FEMALE SINGER COUNT,MALE SONG COUNT,FEMALE SONG COUNT
Hello Darling_2010,2010,1,5,1,7
Anand Ashram_1977,1977,3,3,5,3
Mai (2013 film)_2013,2013,2,2,2,3
99 (2009 film)_2009,2009,3,0,3,0
Appu Raja_1990,1990,2,2,5,2
Ajooba (1991 film)_1991,1991,1,3,3,4
Mallika (2010 film)_2010,2010,1,3,1,4
Fauji (1995 film)_1995,1995,1,2,1,10
Maha Sati Savitri_1973,1973,1,1,2,7
Pavitra Paapi_1970,1970,2,4,3,7
Shankara (1991 film)_1991,1991,1,2,2,10
Mandi (film)_1983,1983,0,2,0,4
Saaz Aur Sanam_1971,1971,1,2,4,6
Hum Naujawan_1985,1985,2,3,2,5
Umar 55 Ki Dil Bachpan Ka_1992,1992,3,3,10,6
Sauda (film)_1995,1995,3,2,6,4
Dost Aur Dushman_1971,1971,1,2,3,6
Dost (1974 film)_1974,1974,3,1,4,2
Jai Ho (film)_2014,2014,2,2,3,3
Heer Raanjha_1970,1970,1,3,3,6
Dooriyaan_1979,1979,0,1,0,1
Jhoothi_1985,1985,1,3,4,9
Muskurahat (1992 film)_1992,1992,3,3,7,4
Dancer (1991 film)_1991,1991,4,3,20,6
Befikre_2016,2016,7,1,8,1
Lalach_1983,1983,4,1,7,1
Mickey Virus_2013,2013,4,1,4,2
Salaami_1994,1994,2,3,7,8
Aandhi-Toofan_1985,1985,0,1,0,1
Chor Machaye Shor_1974,1974,1,2,2,4
Saaransh_1984,1984,0,1,0,2
Ishq Click_2016,2016,6,3,9,3
Mahal (1989 film)_1989,1989,1,2,2,6
Pyaar Ke Do Pal_1986,1986,0,1,0,2
Jazbaat (1994 film)_1994,1994,0,2,0,7
Agent Vinod (2012 film)_2012,2012,2,0,9,0
Pardesi Babu_1998,1998,6,2,9,3
Sainik_1993,1993,1,4,4,5
Sangharsh (1999 film)_1999,1999,3,1,6,2
Mom Ki Gudiya_1972,1972,1,2,2,3
Hawas_1974,1974,1,1,1,4
Jab Harry Met Sejal_2017,2017,2,2,2,2
Qatl_1986,1986,1,2,2,6
Naam (1986 film)_1986,1986,1,2,1,2
