MOVIE NAME,CAST,MENTIONS,TOTAL CENTRALITY,COUNT,AVERAGE CENTRALITY
Nagina,,0,0,0,0
Nagina,mother,0,901.3333333,78,11.55555556
Nagina,rajni,0,97,93,1.043010753
Nagina,woman,0,555.5,15,37.03333333
Pavitra Paapi,veena,21,1267,124,10.21774194
Pavitra Paapi,maya,5,65.33333333,61,1.071038251
Nasihat,indrani,6,415.1666667,53,7.833333333
Purab Aur Paschim,mother,1,19.5,12,1.625
Purab Aur Paschim,preeti,10,127.5,88,1.448863636
Purab Aur Paschim,ganga,12,197,109,1.80733945
Rootha Na Karo,mother,2,57,17,3.352941176
Rootha Na Karo,woman,1,159,19,8.368421053
Rootha Na Karo,neeta,33,1030.833333,212,4.862421384
Rootha Na Karo,reeta,2,0,46,0
Sachaa Jhutha,sister,6,295,59,5
Safar (film),shekhar,12,98,95,1.031578947
Safar (film),kapoor,2,29,14,2.071428571
Safar (film),neela,21,479.5,179,2.67877095
Sawan Bhadon,chanda,5,173,82,2.109756098
Sawan Bhadon,dolly,10,197.3333333,111,1.777777778
Sawan Bhadon,sulochana,15,726.3333333,165,4.402020202
Suhana Safar,sapna,10,450.5,97,4.644329897
Tum Haseen Main Jawaan,anuradha,6,28.66666667,48,0.597222222
Aap Aye Bahaar Ayee,beautiful,5,101,33,3.060606061
Aap Aye Bahaar Ayee,neena,13,596.5,129,4.624031008
Albela,sister,0,55.16666667,11,5.015151515
Anand,mother,1,24,5,4.8
Anand,renu,2,105.5,14,7.535714286
Anubhav,meeta,16,627.1666667,116,5.406609195
Banphool,gulabi,6,66,53,1.245283019
Bikhare Moti,mother,1,157,20,7.85
Caravan,woman,1,114,22,5.181818182
Caravan,mohandas,2,107,24,4.458333333
Caravan,sunita,16,208,129,1.612403101
Chaahat,mother,11,1961.983333,162,12.11100823
Chaahat,girl,2,134,30,4.466666667
Chaahat,geeta,30,1173,292,4.017123288
Chhoti Bahu,mother,3,25.5,18,1.416666667
Chhoti Bahu,sita,5,8.166666667,33,0.247474747
Chhoti Bahu,radha,23,620.2166667,134,4.628482587
Chhoti Bahu,paro,10,372.8333333,79,4.719409283
Dushman,phoolmati,6,141.5,57,2.48245614
Dushman,malti,7,553.6666667,68,8.142156863
Dushman,mother,1,406,43,9.441860465
Dushman,mumtaz,1,203,17,11.94117647
Dushman,ram,14,0,137,0
Ek Nari Ek Brahmachari,woman,1,110,21,5.238095238
Ek Nari Ek Brahmachari,rajlaxmi,2,0,42,0
Ek Nari Ek Brahmachari,neena,6,0,59,0
Ek Paheli,woman,2,15,32,0.46875
Ek Paheli,rosy,5,95,27,3.518518519
Ek Paheli,maria,16,595.5,126,4.726190476
Elaan,mehta,3,127,33,3.848484848
Elaan,lily,3,110,30,3.666666667
Elaan,mala,3,37,37,1
Guddi,guddi,12,28,132,0.212121212
Qatl,ranjeet,14,478.3333333,156,3.066239316
Qatl,sita,9,285.5,107,2.668224299
Qatl,girl,1,6,4,1.5
Qatl,rohini,20,218,157,1.388535032
Haathi Mere Saathi,tanu,5,788,52,15.15384615
Suhaagan,janki,17,830.3333333,126,6.58994709
Hare Rama Hare Krishna,jasbir,11,277,96,2.885416667
Hare Rama Hare Krishna,shanti,8,407,66,6.166666667
Hare Rama Hare Krishna,janice,13,220,128,1.71875
Hulchul,woman,2,505,32,15.78125
Hulchul,hearing,1,75,15,5
Hulchul,kitty,9,0,107,0
Singhasan,devi,3,23.5,13,1.807692308
Singhasan,princess,2,0,10,0
Swarag Se Sunder,lalitha,15,3420.666667,149,22.95749441
Swarag Se Sunder,lakshmi,10,300.5,103,2.917475728
Swarag Se Sunder,girl,1,79.5,15,5.3
Swati,woman,0,730.5,32,22.828125
Swati,sharda,0,433.7666667,162,2.677572016
Swati,rajendra,0,186,42,4.428571429
Swati,anandi,0,39,23,1.695652174
Swati,swati,0,292,131,2.229007634
The Living Corpse,masha,2,39,14,2.785714286
Jal Bin Machhli Nritya Bin Bijli,alaknanda,5,0,47,0
Johar Mehmood in Hong Kong,sonia,6,358.5,115,3.117391304
Johar Mehmood in Hong Kong,daughter,3,985.5,71,13.88028169
Kathputli,mother,2,204.8333333,37,5.536036036
Kathputli,nisha,4,461.5833333,43,10.73449612
Kati Patang,madhu,20,168,201,0.835820896
Kati Patang,mrs.,0,0,0,0
Kati Patang,madhavi,20,4982.616667,118,42.22556497
Kati Patang,poonam,21,685.6995532,177,3.874008775
Kati Patang,shabnam,5,96,38,2.526315789
Lal Patthar,woman,3,266,34,7.823529412
Lal Patthar,sumita,2,0,34,0
Main Sunder Hoon,mother,3,54.5,29,1.879310345
Main Sunder Hoon,radha,25,797.5,129,6.182170543
Aankhon Aankhon Mein,shobha,3,145,28,5.178571429
Amar Prem,mother,5,246.6666667,29,8.505747126
Amar Prem,pushpa,34,3103,291,10.66323024
Mehboob Ki Mehndi,shabana,9,204,65,3.138461538
Annadata,aarti,0,122.9333333,78,1.576068376
Annadata,arun,0,86.33333333,60,1.438888889
Annadata,girl,0,0,21,0
Mera Gaon Mera Desh,anju,2,26,14,1.857142857
Anuraag,mother,0,13,10,1.3
Anuraag,shivani,0,237.5,52,4.567307692
Mere Apne,anandi,8,56,106,0.528301887
Apradh,rita,5,375.6666667,54,6.956790123
Apradh,meena,4,70,34,2.058823529
Parwana,asha,7,209.3333333,63,3.322751323
Patanga,kamla,3,62,32,1.9375
Patanga,sister,4,188.9166667,43,4.393410853
Patanga,renu,27,738.6666667,191,3.867364747
Bhai Ho To Aisa,munnibai,1,6,3,2
Dastaan,mala,0,126.3333333,104,1.21474359
Dastaan,meena,0,99,68,1.455882353
Pyar Ki Kahani,kusum,6,342,35,9.771428571
Reshma Aur Shera,reshma,11,333,92,3.619565217
Do Chor,sandhya,0,113,86,1.313953488
Do Gaz Zameen Ke Neeche,meera,5,6,41,0.146341463
Sanjog,seema,11,56.5,61,0.926229508
Sanjog,asha,15,229.5,88,2.607954545
Dushman,phoolmati,6,142.5,57,2.5
Dushman,malti,7,541.5,68,7.963235294
Dushman,mother,1,406,43,9.441860465
Dushman,mumtaz,1,201,17,11.82352941
Dushman,ram,14,0,137,0
Ek Bechara,kavita,22,725.5,147,4.93537415
Sharmeelee,kanchan,5,135.8333333,47,2.890070922
Sharmeelee,kamini,1,24,6,4
Sharmeelee,sister,2,4,5,0.8
Ek Hasina Do Diwane,woman,1,287,23,12.47826087
Ek Hasina Do Diwane,neeta,10,51,73,0.698630137
Shri Krishna Leela,yashoda,1,0,7,0
Tere Mere Sapne,actress,1,33,6,5.5
Tere Mere Sapne,nisha,9,63,83,0.759036145
Gaon Hamara Shaher Tumhara,mother,3,509.8571429,62,8.223502304
Gaon Hamara Shaher Tumhara,paro,3,28,21,1.333333333
Gaon Hamara Shaher Tumhara,daughter,1,8.5,4,2.125
Gomti Ke Kinare,roshni,1,154,14,11
Uphaar,mother,4,67.95555556,49,1.386848073
Uphaar,minoo,25,183,167,1.095808383
Uphaar,anoop,56,2671.5,338,7.903846154
Uphaar,daughter,2,41.5,8,5.1875
Uphaar,sister,2,124,25,4.96
Grahan,woman,1,7.5,8,0.9375
Grahan,sunita,7,151,52,2.903846154
Grahan,acharya,1,119,18,6.611111111
Grahan,parvati,11,112,88,1.272727273
Jawani Diwani,madhu,4,0,51,0
Jawani Diwani,girl,1,66,11,6
Joroo Ka Ghulam,kalpana,32,1691.5,347,4.874639769
Koshish,girl,0,52.83333333,6,8.805555556
Lalkaar,usha,2,89,23,3.869565217
Mere Jeevan Saathi,princess,0,0,23,0
Mere Jeevan Saathi,jyoti,0,459.8333333,308,1.492965368
Mere Jeevan Saathi,kamini,0,272.5,57,4.780701754
Mere Jeevan Saathi,daughter,0,43.5,8,5.4375
Pakeezah,a,0,7177.316667,216,33.2283179
Pakeezah,nawabjaan,0,141.5,44,3.215909091
Pakeezah,nargis,0,0,31,0
Pakeezah,sahibjaan,0,706.4166667,95,7.435964912
Piya Ka Ghar,malti,14,122,109,1.119266055
Raja Jani,rajmata,4,117,63,1.857142857
Rakhi Aur Hathkadi,girl,1,123.5,20,6.175
Rakhi Aur Hathkadi,mother,3,21.33333333,13,1.641025641
Rivaaj,mother,10,2958.666667,145,20.4045977
Rivaaj,woman,3,585.5,47,12.45744681
Rivaaj,meera,7,1.333333333,65,0.020512821
Rivaaj,sinha,3,706,80,8.825
Rivaaj,lakshmi,8,785.8333333,137,5.736009732
Rivaaj,mala,1,0,22,0
Rivaaj,daughter,4,43,39,1.102564103
Rivaaj,sister,1,60,21,2.857142857
Roop Tera Mastana,kiran,5,738.8333333,76,9.721491228
Aarop,aruna,9,182.5,131,1.393129771
Aarop,daughter,1,33,7,4.714285714
Abhimaan,uma,0,120,41,2.926829268
Abhimaan,girl,0,84,8,10.5
Anamika,mother,1,24,7,3.428571429
Anamika,mrs.,0,0,0,0
Anamika,woman,2,79.33333333,19,4.175438596
Anamika,rubai,3,20,25,0.8
Anamika,anamika,12,226,125,1.808
Seeta Aur Geeta,mother,1,29,11,2.636363636
Seeta Aur Geeta,seeta,30,364,204,1.784313725
Seeta Aur Geeta,girl,1,66,26,2.538461538
Seeta Aur Geeta,geeta,13,163,125,1.304
Anhonee,rekha,5,3,83,0.036144578
Shaadi Ke Baad,shobha,4,223.6333333,31,7.213978495
Shaadi Ke Baad,girl,1,89,12,7.416666667
Anokhi Ada,neeta,2,0,40,0
Anokhi Ada,gupta,2,204,67,3.044776119
Avishkaar,rita,0,0,0,0
Bada Kabutar,mother,2,134.5,77,1.746753247
Banarasi Babu,woman,2,102,15,6.8
Banarasi Babu,neela,3,270.5,57,4.745614035
Bandhe Haath,woman,1,199.8333333,23,8.688405797
Bandhe Haath,mala,5,2.5,67,0.037313433
Black Mail,mehta,2,59,32,1.84375
Black Mail,asha,7,460.1666667,86,5.350775194
Victoria No. 203,seth,1,0,15,0
Victoria No. 203,durgadas,3,70,28,2.5
Bobby,braganza,0,26,13,2
Bobby,girl,0,158,20,7.9
Bobby,daughter,0,219,33,6.636363636
Yeh Gulistan Hamara,soo,5,0,41,0
Yeh Gulistan Hamara,reni,4,214,43,4.976744186
Yeh Gulistan Hamara,girl,1,12,3,4
Chhalia,shanti,8,37,103,0.359223301
Zaroorat,anju,4,22,38,0.578947368
Zaroorat,girl,1,79.5,15,5.3
Chhupa Rustam,rajendra,8,45,75,0.6
Chhupa Rustam,ritu,7,167,59,2.830508475
Daag: A Poem of Love,sonia,5,853,31,27.51612903
Daag: A Poem of Love,woman,1,31,6,5.166666667
Dharma,radha,7,1736.1,104,16.69326923
Dharma,parvati,5,221.8333333,43,5.158914729
