MOVIE NAME,CAST,MENTIONS,TOTAL CENTRALITY,COUNT,AVERAGE CENTRALITY
Hum Sab Chor Hain,vijay,0,3.583333333,67,0.053482587
Kasauti,father,3,211,21,10.04761905
Kasauti,amit,7,284,66,4.303030303
Kasauti,heera,2,119.5,26,4.596153846
Khotey Sikkay,these,10,0,164,0
Khotey Sikkay,ramu,4,12,23,0.52173913
Khotey Sikkay,feroze,7,73,65,1.123076923
Khotey Sikkay,father,2,61,13,4.692307692
Khotey Sikkay,dacoit,2,0,20,0
Jallaad,father,2,32,7,4.571428571
Jallaad,inspector,4,294,62,4.741935484
Jallaad,man,3,2715.083333,60,45.25138889
Janam Kundli,mehra,1,133.6666667,21,6.365079365
Janam Kundli,mahendra,6,7,52,0.134615385
Janam Kundli,prasad,1,23,16,1.4375
Janam Kundli,wealthy,4,31,40,0.775
Janam Kundli,randhir,4,210.3333333,59,3.564971751
Janam Kundli,dayal,3,452.3333333,42,10.76984127
Janam Kundli,kapoor,1,64,8,8
Janam Kundli,rajiv,5,0,23,0
Kalyug Ke Avtaar,son,2,48,22,2.181818182
Kalyug Ke Avtaar,multi-millionaire,0,0,0,0
Kalyug Ke Avtaar,pratap,5,0,50,0
Kartavya,ugranarayan,0,0,39,0
Kartavya,karan,0,291.3333333,125,2.330666667
Kora Kagaz,sukesh,8,99,50,1.98
Kismat,rajan,5,321,49,6.551020408
Kunwara Baap,son,3,19,21,0.904761905
Kunwara Baap,boy,5,100.1666667,58,1.727011494
Naajayaz,son,3,246.5,32,7.703125
Naajayaz,jai,15,415,100,4.15
Naajayaz,raj,19,172,128,1.34375
Majboor,khanna,2,27,20,1.35
Majboor,ravi,18,8,130,0.061538462
Majboor,man,1,4,3,1.333333333
Naseem,man,0,47.33333333,17,2.784313725
Manoranjan,havaldar,4,0,82,0
Manoranjan,ratan,14,539,148,3.641891892
Oh Darling! Yeh Hai India,don,5,463.5,59,7.855932203
Oh Darling! Yeh Hai India,father,2,134,27,4.962962963
Oh Darling! Yeh Hai India,quixote,4,64,53,1.20754717
Oh Darling! Yeh Hai India,hero,12,229.1666667,121,1.893939394
Oh Darling! Yeh Hai India,prince,19,26,103,0.252427184
Paandav,inspector,2,661,23,28.73913043
Paandav,vijay,8,296,108,2.740740741
Mere Saath Chal,amit,7,237,75,3.16
Paappi Devataa,the,11,0,84,0
Paappi Devataa,khan,1,47,25,1.88
Paappi Devataa,rahim,3,0,64,0
Paappi Devataa,ram,5,56,63,0.888888889
Raasaiyya,shyamsunder,5,355,90,3.944444444
Raasaiyya,raasaiyya,9,69,102,0.676470588
Raja,birju,0,113,75,1.506666667
Raja,raja,0,727.0666667,200,3.635333333
Raja,rana,0,171,119,1.43697479
Raja,brijnath,0,79,24,3.291666667
Raja,vishwa,0,10,61,0.163934426
Raja,brother,0,100.8333333,29,3.477011494
Ram Jaane,murli,11,608,189,3.216931217
Ram Jaane,chewte,9,116.2,81,1.434567901
Ram Jaane,jaane,25,2255.6,316,7.137974684
Ram Jaane,bhau,1,549.3,45,12.20666667
Ram Jaane,baweja,4,410.6666667,65,6.317948718
Ram Jaane,boy,2,205.5,27,7.611111111
Ram Jaane,ram,54,143.6666667,365,0.393607306
Rajnigandha,sanjay,5,56,62,0.903225806
Ram Shastra,son,2,276.9,46,6.019565217
Ram Shastra,kavi,3,515.6666667,64,8.057291667
Ram Shastra,dhonga,12,127.3333333,133,0.957393484
Ram Shastra,ram,5,0,105,0
Rangeela,actor,1,107,21,5.095238095
Rangeela,raj,9,414.5,90,4.605555556
Rangeela,munna,13,1000.5,127,7.877952756
Roti,ramu,1,314.5666667,33,9.532323232
Roti,mangal,6,168.6666667,89,1.895131086
Ravan Raaj: A True Story,all,2,0,17,0
Ravan Raaj: A True Story,arjun,9,2042.5,93,21.96236559
Roti Kapda Aur Makaan,father,2,24.66666667,11,2.242424242
Roti Kapda Aur Makaan,bharat,17,577.3333333,161,3.585921325
Roti Kapda Aur Makaan,vijay,21,136,178,0.764044944
Sagina,sagina,1,0,31,0
Sauda (film),madan,12,135,65,2.076923077
Sauda (film),prakash,22,1512.25,137,11.03832117
Sauda (film),deepak,36,998.2329365,302,3.305407075
Sauda (film),man,1,78,14,5.571428571
Sauda (film),boy,1,67,22,3.045454545
Surakshaa,suraj,0,824,69,11.94202899
Surakshaa,vikram,0,0,19,0
Surakshaa,raja,0,438,85,5.152941176
Surakshaa,jagtap,0,270,28,9.642857143
Surakshaa,dhanraj,0,32,14,2.285714286
Surakshaa,laxman,0,0,37,0
Surakshaa,vijay,0,252.5,41,6.158536585
Surakshaa,prince,0,0,35,0
Vachan,kishore,5,334.5,81,4.12962963
Vachan,man,1,372,14,26.57142857
Vachan,kumar,7,63,36,1.75
Takkar,de,0,0,224,0
Takkar,costa,0,1271.2,234,5.432478632
Takkar,ravi,0,1704.333333,383,4.449956484
Takkar,inspector,0,128,96,1.333333333
Takkar,man,2,15.5,7,2.214285714
Taqdeerwala,suraj,56,5611.542857,388,14.46273932
Taqdeerwala,chota,6,0,80,0
Taqdeerwala,lord,11,76.5,118,0.648305085
Aaja Sanam,dr.,0,0,0,0
Aaja Sanam,satish,5,53,43,1.23255814
The Don,a,0,0,35,0
The Don,man,0,89.33333333,22,4.060606061
The Gambler,police,0,65.66666667,65,1.01025641
Aakhri Daao,ravi,6,58,78,0.743589744
Aakhri Daao,safecracker,3,0,22,0
Veergati,havaldar,1,0,23,0
Veergati,ekka,5,84,52,1.615384615
Veergati,shlok,5,0,31,0
Veergati,pooja,1,18,5,3.6
Veergati,ajay,8,680,88,7.727272727
Veergati,hawaldar,6,135,64,2.109375
Veergati,boy,2,233,21,11.0952381
Yaraana,her,0,0,53,0
Yaraana,jb,0,569.5,134,4.25
Yaraana,raj,0,452.5,47,9.627659574
Zamana Deewana,suraj,3,213.1,54,3.946296296
Zamana Deewana,son,1,582.8333333,26,22.41666667
Zamana Deewana,asst.,0,0,0,0
Anari,ramnath,5,135,48,2.8125
Anari,raj,12,121.7666667,120,1.014722222
Anari,man,1,9,9,1
Chhoti Si Baat,shastri,1,188,17,11.05882353
Chhoti Si Baat,arun,16,4430.804304,199,22.26534826
Chhoti Si Baat,nagesh,5,145.4938034,90,1.616597816
Chhoti Si Baat,man,2,1100.666667,49,22.46258503
Chhoti Si Baat,singh,3,492,55,8.945454545
Chhoti Si Baat,colonel,2,0,57,0
Chupke Chupke,parimal,15,629.5,208,3.026442308
Chupke Chupke,james,1,0,5,0
Chupke Chupke,pyare,6,489.5833333,117,4.184472934
Chupke Chupke,prof.,0,0,0,0
Chupke Chupke,tripathi,2,77,44,1.75
Chupke Chupke,man,0,14.5,5,2.9
Chupke Chupke,sukumar,5,0,93,0
Deewaar,anand,11,0,81,0
Deewaar,father,2,164,13,12.61538462
Deewaar,brother,5,756.5833333,46,16.44746377
Deewaar,vijay,45,6513.416667,334,19.5012475
Deewaar,samant,5,1564.283333,54,28.96820988
Dharam Karam,ranjit,5,0,45,0
Dharam Karam,shankar,15,445,160,2.78125
Dharam Karam,j.k.,0,0,0,0
Dharam Karam,dharam,5,441.5,88,5.017045455
Dharam Karam,ashok,4,136,41,3.317073171
Dharmatma,natwar,10,275,99,2.777777778
Dharmatma,father,15,952.3333333,119,8.00280112
Dharmatma,rishi,9,0,67,0
Dharmatma,shakti,3,0,20,0
Dharmatma,dharamdas,2,123,37,3.324324324
Dharmatma,son,4,222.5,38,5.855263158
Dharmatma,seth,5,109,43,2.534883721
Dharmatma,dharmatma,14,286.8333333,100,2.868333333
Dharmatma,man,1,79.73333333,11,7.248484848
Dharmatma,ranbir,91,4884.833333,639,7.644496609
Do Jasoos,rajendra,1,0,18,0
Players,ronnie,7,132.5,50,2.65
Players,victor,9,257,58,4.431034483
Players,bilal,4,0,64,0
Players,sunny,4,87,56,1.553571429
Players,spider,24,933,282,3.308510638
Ghost,doctor,7,2030,83,24.45783133
Ghost,father,5,18,57,0.315789474
Ghost,vijay,12,210.6666667,98,2.149659864
Ek Mahal Ho Sapno Ka,vishal,4,346,47,7.361702128
Ek Mahal Ho Sapno Ka,aruna,9,157,57,2.754385965
Faraar,rajesh,12,74.66666667,116,0.643678161
Agneepath,deal,0,178.6666667,33,5.414141414
Agneepath,kancha,0,870.252381,203,4.286957542
Agneepath,young,0,0,18,0
Agneepath,chauhan,0,1192.319048,78,15.28614164
Agneepath,rauf,0,182,63,2.888888889
Agneepath,lala,0,774.6666667,100,7.746666667
Agneepath,man,0,60,25,2.4
Agneepath,gaitonde,0,0,26,0
Agneepath,he,12,0,11,0
Agneepath,mandwa,0,149.1666667,113,1.320058997
Agneepath,vijay,22,552.6666667,356,1.552434457
Geet Gaata Chal,shyam,14,294.8333333,113,2.609144543
Gali Gali Chor Hai,actor,1,86,15,5.733333333
Gali Gali Chor Hai,father,1,299,24,12.45833333
Gali Gali Chor Hai,bharat,28,14615,310,47.14516129
Gali Gali Chor Hai,man,1,235.0666667,27,8.70617284
Gali Gali Chor Hai,brother,2,597.5,51,11.71568627
Staying Alive,shaukat,2,0,18,0
Staying Alive,ali,2,186.5,23,8.108695652
Ek Main Aur Ekk Tu,rahul,30,645.5,265,2.435849057
Ek Main Aur Ekk Tu,father,3,73,14,5.214285714
Ek Main Aur Ekk Tu,riana,56,2985.616667,291,10.25985109
Jai Santoshi Maa,birju,5,606.3333333,92,6.59057971
Ekk Deewana Tha,father,2,176.1666667,21,8.388888889
Ekk Deewana Tha,anay,13,232.1666667,85,2.731372549
Julie,shashi,8,128,70,1.828571429
Jodi Breakers,marc,19,412.5,201,2.052238806
Jodi Breakers,sid,31,989.5,288,3.435763889
Tere Naal Love Ho Gaya,chowdhary,6,54,72,0.75
Tere Naal Love Ho Gaya,father,12,799.8333333,201,3.979270315
Tere Naal Love Ho Gaya,viren,41,1050,314,3.343949045
Tere Naal Love Ho Gaya,bhatti,9,162.1666667,65,2.494871795
Kala Sona,father,3,235.1666667,47,5.003546099
Kala Sona,shera,2,448.5,33,13.59090909
Kala Sona,man,1,23,5,4.6
Kala Sona,rakesh,14,311.5,131,2.377862595
Paan Singh Tomar,son,2,104,23,4.52173913
Paan Singh Tomar,pann,2,0,32,0
Paan Singh Tomar,paan,40,443.5,406,1.092364532
Paan Singh Tomar,singh,19,1753,230,7.62173913
Paan Singh Tomar,brother,2,121.5,38,3.197368421
